Team Number,Team Name,Location,2026
6248,Millbrook High School,"Raleigh, North Carolina, USA",False
6300,The Northwoodians,"Lake Placid, New York, USA",True
6301,Nerointellect-sim Engineering & Robot Design Soiree N.E.R.D.S.,"Taunton, Massachusetts, USA",False
6302,Greeneville High School Robotics,"Greeneville, Tennessee, USA",True
6303,Citadel,"Istanbul, Istanbul, Turkey",False
6304,EAGLE,"zhenjiang, Jiangsu, China",True
6305,Stable Circuits,"Fresno, California, USA",True
6306,Atonement Academy CrewStators,"San Antonio, Texas, USA",False
6307,Courtland High School,"Fredericksburg, Virginia, USA",False
6308,SPCS - Hafabots,"Yigo, Guam, USA",False
6309,SPCS - Koko Tek,"Yigo, Guam, USA",False
6312,Hippocampinae,"Christchurch, Virginia, USA",False
6313,Hippocampus,"Christchurch, Virginia, USA",False
6314,DM Robotics The WolfPack,"Scottsdale, Arizona, USA",False
6315,Code Error 404,"Laredo, Texas, USA",False
6317,Disruptive Innovation,"Davenport, Iowa, USA",False
6318,FE Freedom Engineers,"Freedom, Wisconsin, USA",True
6319,Tecmilenio ENKI-NOVA 6319,"AHOME, Sinaloa, Mexico",False
6320,Iron Hawks,"Manchester, Iowa, USA",False
6321,■ R-Cubed Rouse Raider Robotics ■,"Leander, Texas, USA",False
6322,OneClay ARMORY ,"Green Cove Springs, Florida, USA",True
6323,Hayden Robotics,"Burlington, Ontario, Canada",False
6324,The Blue Devils,"Salem, New Hampshire, USA",True
6325,Reset Robotics,"Alpharetta, Georgia, USA",False
6326,⚡ Baltimore Bolts ⚡,"Baltimore, Maryland, USA",True
6327,The Fighting Gophers,"Media, Pennsylvania, USA",False
6328,Mechanical Advantage,"Littleton, Massachusetts, USA",True
6329,The Bucks' Wrath,"Bucksport, Maine, USA",True
6330,6330 - Arc Angels,"Mississauga, Ontario, Canada",False
6331,Sabotage,"Windsor, Ontario, Canada",False
6332,Bull City Botics,"Durham, North Carolina, USA",False
6333,Scavenger Robotics,"Putnam, Connecticut, USA",True
6334,Aluminati,"Midlothian, Virginia, USA",False
6335,Terminal Velocity,"Burlington, Massachusetts, USA",False
6336,Javawockies,"London, Ontario, Canada",False
6337,Terror Bytes,"Pittsfield, Maine, USA",False
6338,DRIVING STEEL,"Macomb, Michigan, USA",False
6339,Pelican Falls First Nations High School,"Sioux Lookout, Ontario, Canada",False
6340,The Marist Manatees,"Atlanta, Georgia, USA",True
6341,Firestorm Robotics,"Acworth, Georgia, USA",False
6342,BT Robotics,"Ancaster, Ontario, Canada",False
6343,Steel Ridge,"Ridgefield, Washington, USA",True
6344,Yale Jiggawattz,"Yale, Michigan, USA",True
6345,Nimrod Nation,"Watersmeet, Michigan, USA",False
6346,Cybears Robotics Team,"Norwalk, Connecticut, USA",True
6347,St. James Lions,"Guelph, Ontario, Canada",False
6348,PrepaTec - HORUS,"Colima, Colima, Mexico",True
6349,Albany High Indians,"Albany, Georgia, USA",False
6350,Clawbots,"Enumclaw, Washington, USA",True
6351,Rundle College Robotics,"Calgary, Alberta, Canada",False
6352,LAUNCH TEAM,"Surprise, Arizona, USA",True
6353,Zodiac,"Shanghai, Shanghai, China",True
6354,Jiayi Superhuman Strength,"Shanghai, Shanghai, China",False
6355,Patriots,"Sandusky, Ohio, USA",False
6356,MetaRobotics,"Shenzhen, Guangdong, China",False
6357,The Spring Konstant,"Dripping Springs, Texas, USA",True
6358,The Buhlean Operators ,"Buhl, Idaho, USA",True
6359,TechKnow Difficulties,"Aurora, Nebraska, USA",False
6360,Quanzhou No.5 Middle School,"Quanzhou, Fujian, China",False
6361,The Blazer,"Shanghai, Shanghai, China",False
6362,Shengxue Corps,"Shanghai, Shanghai, China",False
6363,BirdBots,"El Campo, Texas, USA",False
6364,Ten Ton,"West Vancouver, British Columbia, Canada",True
6365,Imperial star destroyer,"Shanghai, Shanghai, China",False
6366,RAM Rodz Robotics,"Simpsonville, South Carolina, USA",True
6367,The ElectroLights,"Dorchester Center, Massachusetts, USA",True
6368,Unknown,"Shanghai, Shanghai, China",False
6369,Mercenary Robotics,"McKinney, Texas, USA",True
6370,Texas Titans,"Helotes, Texas, USA",False
6371,Spencer Robotics,"Spencer, Iowa, USA",False
6372,Chi-squared Robotics,"Gilbert, Arizona, USA",False
6373,River City Robotics,"Chattanooga, Tennessee, USA",False
6374,NanChong Union,"Nan Chong, Sichuan, China",False
6375,MC²,"Beijing, Beijing, China",False
6376,Further Dream,"Shanghai, Shanghai, China",False
6377,Howdy Bots,"Austin, Texas, USA",True
6378,LYNX,"Mississauga, Ontario, Canada",False
6379,Terabyte of Ram,"Pleasant Hill, Iowa, USA",False
6380,ORION ROBOTICS,"Istanbul, Istanbul, Türkiye",False
6381,Red Raider Robotics,"Sheboygan, Wisconsin, USA",True
6382,RoboHornz,"Vista, California, USA",False
6383,PLUG&PLAY,"Shenzhen, Guangdong, China",False
6384,Hisar Ravens,"Gokturk ISTANBUL, Istanbul, Turkey",False
6385,TrueMoe,"Jinhua, Zhejiang, China",False
6386,Guangzhou research robot club,"GUANGZHOU, Guangdong, China",False
6387,Discobots Canada,"Brampton, Ontario, Canada",False
6388,WonderWorks Robotics,"istanbul, Istanbul, Turkey",False
6389,Matster Mechanist,"Nanjing, Jiangsu, China",False
6390,Hephaestus ,"Surrey, British Columbia, Canada",True
6391,Ursuline Bearbotics,"Saint Louis, Missouri, USA",True
6392,Dimension Creator,"Chengdu, Sichuan, China",False
6393,Pioneer,"Zhengzhou, Henan, China",False
6394,MITO,"Suzhou, Jiangsu, China",False
6395,Xindu No.2 High School,"Chengdu , Sichuan, China",False
6396,Steel Tempest,"Pensacola, Florida, USA",False
6397,Romero Robotics,"Toronto, Ontario, Canada",True
6398,Kilo-bots,"Santa Paula, California, USA",False
6399,Tinspiratio,"Jinan , Shandong, China",True
6400,The Manhattan Project,"Manhattan, Montana, USA",False
6401,8-bit RAMs,"New City, New York, USA",True
6402,GÖKTÜRKLER,"İSTANBUL, Istanbul, Türkiye",True
6403,D.P. Todd Secondary,"Prince George, British Columbia, Canada",False
6404,Brazilian Storm,"São José dos Campos, São Paulo, Brazil",True
6405,EntreBots,"Palmdale, California, USA",False
6406,Cyber/Scorpions,"Salt Spring Island, British Columbia, Canada",False
6407,Tecmilenio - DEVOLT - 6407,"Chihuahua, Chihuahua, Mexico",False
6408,Syntechs Robotics,"Port Moody, British Columbia, Canada",False
6409,Odrinias,"Edirne, Edirne, Turkey",False
6410,Supreme Eagles,"Salinas, California, USA",True
6411,Gravediggers,"Sandy, Utah, USA",False
6412,For Sale By Owner,"Cedar Rapids, Iowa, USA",False
6413,Degrees of Freedom,"Chandler, Arizona, USA",True
6414,Voyager,"Shenzhen, Guangdong, China",True
6415,Gultepe Robotics Team 6415,"Istanbul, Istanbul, Türkiye",True
6416,MEVOLUTION ROBOTIC TEAM,"Büyükçekmece, Istanbul, Turkey",False
6417,Fridolins,"Glarus, Glarus, Switzerland",True
6418,The Missfits,"San Francisco, California, USA",True
6419,Kernel Chaos,"West Des Moines, Iowa, USA",True
6420,Fire Island Robotics,"Muscatine, Iowa, USA",True
6421,WarriorBots,"Muskego, Wisconsin, USA",True
6422,GearHeadz,"Rocky Point, New York, USA",False
6423,Ward Melville Iron Patriots,"East Setauket, New York, USA",True
6424,Stealth Panther Robotics,"Knob Noster, Missouri, USA",True
6425,The Conclave,"Coldwater, Michigan, USA",False
6426,Robo Gladiators,"Durham, North Carolina, USA",False
6427,Glendale,"London, Ontario, Canada",False
6428,STEMINEERS,"Coopersville, Michigan, USA",True
6429,4th Dimension,"BORNOVA, Izmir, Türkiye",True
6430,Kalsedon,"Eskişehir, Eskisehir, Türkiye",True
6431,NoktaParantez,"Istanbul, Istanbul, Türkiye",True
6432,Valkyries ,"Waverley, New South Wales, Australia",True
6433,HZ4Z,"Hangzhou, Zhejiang, China",True
6434,Bossley Park High School Wolfgang,"Bossley Park, New South Wales, Australia",True
6435,Jetson's Robotics,"Istanbul, Istanbul, Türkiye",False
6436,PARS ROBOTICS,"istanbul, Istanbul, Türkiye",True
6437,The Pacific Quakers,"Portland, Oregon, USA",False
6438,MEF THUNDER FTD,"Besiktas, Istanbul, Turkey",False
6439,tanx,"Shanghai, Shanghai, China",False
6440,Canobolas,"Orange, New South Wales, Australia",False
6441,Turbo Turtle,"Nanjing, Jiangsu, China",False
6442,Modern Americans,"Pendleton, Oregon, USA",False
6443,AEMBOT,"Hillsboro, Oregon, USA",True
6444,PrepaTec Chihuahua- Sigma Robotics,"Chihuahua, Chihuahua, Mexico",False
6445,CTEC Robotics,"Salem, Oregon, USA",False
6446,Redhawks,"Blythewood, South Carolina, USA",False
6447,Bad 2 the Bone - Bingara Central School,"Bingara, New South Wales, Australia",False
6448,LBJ Early College High School,"Austin, Texas, USA",False
6449,DigiBots,"Warnbro, Western Australia, Australia",False
6450,The Reaper,"Jinhua , Zhejiang, China",False
6451,Wired Warriors,"Whiteland, Indiana, USA",False
6452,GPrep Thumpin Pup,"Spokane, Washington, USA",False
6453,Bog Bots!,"Kelliher, Minnesota, USA",True
6454,Chicken Strips,"Pasco, Washington, USA",False
6455,The Coded Collective,"Waterloo, Iowa, USA",True
6456,Oregon Trail Academy Wi-Fires,"Boring, Oregon, USA",False
6457,Roots Charter High School,"West Valley City, Utah, USA",False
6458,Semiahmoo Robotics,"Surrey, British Columbia, Canada",False
6459,AG Robotik,"Büyükçekmece, Istanbul, Türkiye",True
6460,Air Guardians,"Mansfield, Ohio, USA",False
6461,Iron Stallions,"Wingham, Ontario, Canada",False
6462,techJOYnT,"Edmond, Oklahoma, USA",False
6463,Robotic Rams,"Port Ewen, New York, USA",True
6464,Danger Noodle Danger,"Seminole, Oklahoma, USA",False
6465,Mystic Biscuit,"Bend, Oregon, USA",True
6466,Tiger Tech,"Stanfield, Oregon, USA",False
6467,Tiger Robotics,"Lenox, Iowa, USA",False
6468,The Positronic Panthers,"Ponte Vedra, Florida, USA",False
6469,Junkyard Dogs,"Goochland, Virginia, USA",False
6470,Templeton STEM,"Vancouver, British Columbia, Canada",False
6471,Lee County High School Trobots,"Leesburg, Georgia, USA",False
6472,H-TECH,"uskudar, Istanbul, Turkey",False
6473,Rock Star Robotics,"Orlando, Florida, USA",True
6474,Indigo Dynamics,"Fairfield, California, USA",False
6475,Helium-3,"Beijing, Beijing, China",False
6476,Supernova Star Squad,"Coonabarabran, New South Wales, Australia",True
6477,Conqueror of Istanbul,"Buyukcekmece, Istanbul, Turkey",False
6478,CASHS Bot Team,"Seville Grove, Western Australia, Australia",False
6479,AZTECH Robotics,"Tempe, Arizona, USA",True
6480,SAGE Robotics,"Minneapolis, Minnesota, USA",False
6481,Deus Ex Machina,"Parkhill, Ontario, Canada",False
6482,Wildcat Robotics,"Joseph City, Arizona, USA",False
6483,Prepa Tecmilenio - CHARGER,"JUÁREZ, Chihuahua, Mexico",True
6484,TechKnowLogic,"Greenwich, New York, USA",False
6485,Mecha Mustangs,"Surrey, British Columbia, Canada",False
6486,Ten More Tons,"West Vancouver, British Columbia, Canada",False
6487,Clockwork Knights,"Shanghai, Shanghai, China",True
6488,RoboRams,"Houston, Texas, USA",True
6489,Bronco Bolts,"Zachary, Louisiana, USA",True
6490,Panther Robotics,"Geneva, New York, USA",False
6491,Short Circuits,"Fairhope, Alabama, USA",False
6492,Pangburn S.W.A.T.,"Pangburn, Arkansas, USA",False
6493,Red Steel,"University Center, Michigan, USA",False
6494,Wings of Liberty,"Shanghai, Shanghai, China",True
6495,Future Star,"Beijing, Beijing, China",False
6496,AREA 27,"Durham, North Carolina, USA",False
6497,Pymble P-Platers,"Sydney, New South Wales, Australia",True
6498,Castle Robotics,"Newburgh, Indiana, USA",True
6499,Innovos Robotics,"Orange, California, USA",False
6500,GearCats,"Raleigh, North Carolina, USA",True
6502,DARC SIDE,"Durham, North Carolina, USA",True
6503,Iron Dragon,"Seattle, Washington, USA",False
6504,FCHS Jagwires,"Falls Church, Virginia, USA",False
6505,ElectroPanthers,"Washington, District of Columbia, USA",False
6506,Steel Boot Robotics,"Salinas, California, USA",True
6507,Tecmilenio CYBORG HAWKS 6507,"Reynosa, Tamaulipas, Mexico",False
6508,Hastings Heroes,"Port Macquarie, New South Wales, Australia",True
6509,Southern River,"Gosnells, Western Australia, Australia",False
6510,Pymble Pride,"Pymble, New South Wales, Australia",True
6511,Oberoi,"Mumbai, Maharashtra, India",False
6512,Coastal Catastrophe 6512,"Shallotte, North Carolina, USA",False
6513,The Wyverns,"Woodbridge, Ontario, Canada",False
6514,Sutton Robotics League,"Sutton West, Ontario, Canada",False
6515,Unimatics,"Calexico, California, USA",True
6516,Robonados,"Lebanon, Ohio, USA",False
6517,So-Kno Robo ,"Knoxville, Tennessee, USA",True
6518,JagBots,"Phoenix, Arizona, USA",False
6519,The Vegas Vortechs,"Las Vegas, Nevada, USA",False
6520,GreenAms Robotics Team,"Hanoi, Ha Noi, Vietnam",False
6521,FPT,"hanoi, Ha Noi, Vietnam",False
6522,Tomaree High School,"Salamander Bay, New South Wales, Australia",False
6523,Condobolin,"Condobolin, New South Wales, Australia",False
6524,Wilder Wolves FRC,"Seville Grove, Western Australia, Australia",False
6525,Greater Sydney Robotics,"Sydney, New South Wales, Australia",False
6526,Cyber Rangers,"Garland, Texas, USA",True
6527,RamShock,"Lake Mary, Florida, USA",True
6528,Terror Bytes,"Gibraltar, Michigan, USA",True
6529,Beantown Blitz,"Roxbury Crossing, Massachusetts, USA",False
6530,Ra,"Phoenix, Arizona, USA",False
6531,Redhawks,"Cedar Springs, Michigan, USA",False
6532,TechnoPaths,"Detroit, Michigan, USA",True
6533,BeaverTech,"Beaverton, Michigan, USA",True
6534,Saints Scholars,"Grand Rapids, Michigan, USA",False
6535,Edison Sustainabots,"Huntington Beach, California, USA",False
6536,TheDarkSide,"Vinton, Iowa, USA",False
6537,WIHS Robotics,"Windsor, Ontario, Canada",False
6538,Linc-Bots,"Ypsilanti, Michigan, USA",True
6539,Success Robotics Team,"Ontonagon, Michigan, USA",False
6540,Dynamo,"Mont-Royal, Québec, Canada",False
6541,T-FROGS,"LA TALAUDIERE, Loire, France",False
6542,Technomancers,"Pittsburg, Kansas, USA",False
6543,pumaTECH,"Oakton, Virginia, USA",False
6544,A-Team Robotics,"Amherstburg, Ontario, Canada",False
6545,Tawas Braves,"Tawas City, Michigan, USA",False
6546,Naatsisʼáán Robotics,"Navajo Mountain, Utah, USA",False
6547,Flaming Metal Robotics,"Magnolia, Texas, USA",False
6548,Perry RAMBOTS,"Perry, Michigan, USA",True
6549,caseville eagles,"Caseville, Michigan, USA",False
6550,Wildcat Robotics,"Evart, Michigan, USA",False
6551,MOOTeam,"Port Huron, Michigan, USA",False
6552,RoboCats,"Houghton Lake, Michigan, USA",False
6553,Roboticus,"Oxnard, California, USA",False
6554,Phoenix Robotics,"La Mirada, California, USA",False
6555,Ad Astra,"Bursa, Bursa, Turkey",False
6556,Spartan Robotics,"Waldron, Michigan, USA",False
6557,S.R.U - Special Robotics Unit,"Baraga, Michigan, USA",False
6558,Aluminum Sting,"Lanse, Michigan, USA",True
6559,Bay-Arenac,"Bay City, Michigan, USA",False
6560,Charging Champions,"Irvine, California, USA",True
6561,Omecha Wolf Pack,"Scottville, Michigan, USA",False
6562,She Heroes,"Mercedes, Texas, USA",False
6563,ROBO CORR,"Quesnel, British Columbia, Canada",False
6564,TDSS Titans,"Woodbridge, Ontario, Canada",False
6565,Team Bobcat,"Arapahoe, North Carolina, USA",False
6566,Battering Rams,"Madison Heights, Michigan, USA",True
6567,The Broken Drill Bits,"Saint Clair Shores, Michigan, USA",False
6568,Decatur Robotics Team,"Decatur, Michigan, USA",False
6569,Gladiators,"Ontonagon, Michigan, USA",True
6570,Whiteford Bobcats,"Ottawa Lake, Michigan, USA",True
6571,Lakeview Wildcats,"Lakeview, Michigan, USA",False
6572,Forest Area,"Fife Lake, Michigan, USA",False
6573,Alanson Viking Robotics,"Alanson, Michigan, USA",False
6574,Ferradermis,"Whitewater, Wisconsin, USA",True
6575,Tempe T-Rex,"Tempe, New South Wales, Australia",False
6576,High School Science Education,"Hanoi, Ha Noi, Vietnam",False
6577,South City International School,"Kolkata, West Bengal, India",False
6578,G D Goenka,"New Delhi, Delhi, India",False
6579,Komplete Kaos Inc,"Helensburgh, New South Wales, Australia",False
6580,Positive Charge,"Marshall, Michigan, USA",False
6581,Hancock Robotics,"Hancock, Michigan, USA",False
6582,Vestabots,"Vestaburg, Michigan, USA",False
6583,Human Error,"Plymouth, Michigan, USA",False
6584,AHC Transformers,"Kensington, Maryland, USA",False
6585,Hózhóogo Naasháa Doo (Walk in Beauty),"Many Farms, Arizona, USA",False
6586,Tuskin' Raiders,"Texarkana, Arkansas, USA",False
6587,WCA Cougars,"Hillsdale, Michigan, USA",False
6588,Counter-Torque Robotics,"Lawton, Michigan, USA",True
6589,Cardinal Robotics,"Bloomingdale, Michigan, USA",False
6590,SaviTech,"Brooklyn, New York, USA",True
6591,Panther Powered Robotics 6591,"Stockbridge, Michigan, USA",True
6592,Sexton Redbots,"Lansing, Michigan, USA",False
6593,HyperDrive Robotics,"Richmond Hill, New York, USA",True
6594,EV ROBOTICS,"Lansing, Michigan, USA",False
6595,QUAKE,"Lansing, Michigan, USA",False
6596,Ashley BearBots,"Ashley, Michigan, USA",False
6597,Eagles,"Saginaw, Michigan, USA",False
6599,Northport Wildcats,"Northport, Michigan, USA",False
6600,Tech Heads,"Baldwin, Michigan, USA",False
6601,Easy Company,"Staten Island, New York, USA",False
6602,Belle Bots,"Little Rock, Arkansas, USA",False
6603,Cornerstone Crushers,"Weyburn, Saskatchewan, Canada",False
6604,Tecmilenio - Equipo ITAC - 6604,"CULIACAN, Sinaloa, Mexico",False
6605,Prepa Tecmilenio - Imperium Fons,"Cuernavaca, Morelos, Mexico",False
6606,Prepa Tecmilenio Pink Hawks 6606,"Metepec, Mexico, Mexico",True
6607,Tecmilenio - ARMY ROBOT TECHNOLOGY - 6607,"Veracruz, Veracruz, Mexico",False
6608,Prepa Tecmilenio - ARCADIA,"Guadalajara, Jalisco, Mexico",True
6609,Suwannee Bulldogs,"Live Oak, Florida, USA",False
6610,Robot Roll Call,"Burton, Michigan, USA",True
6611,WolverBots,"Au Gres, Michigan, USA",False
6612,NexGen Robotics,"Antioch, California, USA",False
6613,Gogebic Range Robotics,"Hurley, Wisconsin, USA",False
6614,ROBOTEDIST,"İSTANBUL, Istanbul, Turkey",False
6615,Bellevillains,"Belleville, Michigan, USA",True
6616,Mechanical Pumas,"Detroit, Michigan, USA",True
6617,NASA BHS Black Hawks Robotics Club,"Bellingham, Massachusetts, USA",False
6618,WARHBOTS,"Flat Rock, Michigan, USA",True
6619,GravitechX,"Livermore, California, USA",True
6620,Voltage Vikings,"North Smithfield, Rhode Island, USA",True
6621,Artemis,"Chatham, New York, USA",True
6622,Stan Robotix,"MONTREAL, Québec, Canada",True
6623,Robot Maroc,"Meknès, Meknès, Morocco",False
6624,Marinette RoboMarines,"Marinette, Wisconsin, USA",False
6625,İEA Robotics,"İstanbul, Istanbul, Turkey",False
6626,Robohana,"Andrews, South Carolina, USA",False
6627,Niles Nordic Knights,"Niles, Michigan, USA",False
6628,KMS BOTKICKERS,"Kerkhoven, Minnesota, USA",True
6629,Concord Boyne Kestrels,"Boyne City, Michigan, USA",False
6630,F.U.N. (Fiercely Uknighted Nation),"La Porte City, Iowa, USA",False
6631,Rocket Robotics,"Reese, Michigan, USA",False
6632,Northview Robotics,"Toronto, Ontario, Canada",True
6633,Robo-Elephants,"Detroit, Michigan, USA",False
6634,Tecmilenio Phoenix Forces 6634,"San Nicolás de los Garza, Nuevo León, Mexico",False
6635,JaXon Falcon Works,"Jackson, Michigan, USA",False
6636,Full Metal Beavers,"Jamaica, New York, USA",False
6637,BetaWolves,"Carney, Michigan, USA",True
6638,Fulton Pirates,"Middleton, Michigan, USA",False
6639,The Mechanical Minds ,"Hickory, North Carolina, USA",True
6640,Metal Eagles,"Mayflower, Arkansas, USA",False
6641,GSLRobotX,"Istanbul, Istanbul, Turkey",False
6642,Harrison Stingers of Steel,"Harrison, Michigan, USA",True
6643,Walnuts and Bolts,"Racine, Wisconsin, USA",True
6644,Atomic Automatons,"Rocklin, California, USA",False
6645,Alloy Obsession,"Crosby, Texas, USA",True
6646,Belton Robotics Spacemakers,"Belton, Texas, USA",False
6647,PrepaTec - VOLTEC ,"MONTERREY, Nuevo León, Mexico",True
6648,MechaSpartans,"Ozone Park, New York, USA",True
6649,CHA Circuits,"Saint Helen, Michigan, USA",False
6650,Tribebots,"Fresno, California, USA",False
6651,Golden Bots,"Sterling, Illinois, USA",True
6652,Tigres,"San Nicolas de los Garza, Nuevo León, Mexico",True
6653,West Wyalong,"West Wyalong, New South Wales, Australia",False
6654,Central Robobcatics,"Knoxville, Tennessee, USA",False
6655,Texan Robotics,"Arlington, Texas, USA",False
6656,Ryu Botics,"Payson, Arizona, USA",False
6657,Arborbotics,"Visalia, California, USA",True
6658,Rockbotics,"Los Angeles, California, USA",True
6659,CouBots,"Escondido, California, USA",False
6660,MarkerBots,"Saint Louis, Missouri, USA",False
6661,Polaris,"North York, Ontario, Canada",False
6662,FalconX,"Pleasant Hill, California, USA",True
6663,Kamikaze Krew,"Onamia, Minnesota, USA",False
6664,LADYBOTS,"Pharr, Texas, USA",False
6665,C-Otters,"Monterey, California, USA",True
6666,Hephaestus,"Guadalupe, Nuevo León, Mexico",False
6667,STEM Clippers,"Chester, Pennsylvania, USA",False
6668,Scorpion,"Hesperia, California, USA",False
6669,ATL Eagles Robotics,"Delray Beach, Florida, USA",False
6670,Red Cat Robots,"Milwaukee, Wisconsin, USA",False
6671,Adamas Robotics,"Fort Worth, Texas, USA",False
6672,Fusion Corps,"Irving, Texas, USA",True
6673,Alexis Tech Warriors,"Glenevis, Alberta, Canada",False
6674,MIT Iron Eagles,"Phoenix, Arizona, USA",False
6675,Ingenious Innovators,"New Britain, Connecticut, USA",False
6676,Prepa Tecmilenio - Thunder Hawks - 6676,"Obregón, Sonora, Mexico",True
6677,Team Avengers,"Pascagoula, Mississippi, USA",False
6678,DKRobotics,"Svendborg, South Denmark, Denmark",False
6679,TESLA Robotics,"Calgary, Alberta, Canada",False
6680,TRIObotics,"Pocatello, Idaho, USA",False
6681,FHC Warriors,"Whitehorse, Yukon Territory, Canada",False
6682,A.S.T.R.O. Vikings,"Alamogordo, New Mexico, USA",False
6683,The ROAR-Botics,"Glendale, Arizona, USA",False
6684,RoboCats,"Carrizo Springs, Texas, USA",False
6685,Amped Up,"West Palm Beach, Florida, USA",False
6686,Bionic Broncos,"West Palm Beach, Florida, USA",True
6687,Owltronics,"Garland, Texas, USA",False
6688,West Valley Middle College Robotics Team,"San Jose, California, USA",False
6689,Robit,"Mexico City , Distrito Federal, Mexico",False
6690,MV roboPride,"Penacook, New Hampshire, USA",True
6691,Torque,"Wolfeboro, New Hampshire, USA",True
6692,Robofalcons,"San Bernardino, California, USA",False
6693,TrailBLAZERS,"Columbia, South Carolina, USA",False
6694,INNOBOTICS,"Mexicali, Baja California, Mexico",False
6695,GalvaKnights,"San Marcos, California, USA",True
6696,Cardinal Dynamics,"Corbett, Oregon, USA",True
6697,EUROBOTICS,"İSTANBUL, Istanbul, Turkey",False
6699,Thunder Robotics,"Atwater, California, USA",False
6700,Patriot Robotics,"Calgary, Alberta, Canada",False
6701,Phoenix,"Moose Jaw, Saskatchewan, Canada",False
6702,PrepaTec - StingBots,"Tlajomulco de Zúñiga, Jalisco, Mexico",True
6703,Prince George Secondary School Robotics Club,"Prince George, British Columbia, Canada",False
6704,Mid Pacific Owl Robotics,"Honolulu, Hawaii, USA",True
6705,Wildcat5e ,"Dunwoody, Georgia, USA",True
6706,Golem,"Shenzhen, Guangdong, China",True
6707,RCW Jaguar Robosapiens,"Renville, Minnesota, USA",False
6708,Lobos Conalep,"Almoloya del Rio, Mexico, Mexico",False
6709,S.P.U.D. INC ,"Big Lake, Minnesota, USA",True
6710,Southside Robotics,"Atlanta, Georgia, USA",False
6711,Millennial Falcons,"Atwater, California, USA",False
6712,Mountaineers,"Chatsworth, Georgia, USA",True
6714,A. R. Johnson's Panthers,"Augusta, Georgia, USA",False
6715,Hephzibah High Robotics,"Hephzibah, Georgia, USA",False
6716,Circuit Br8kers,"Augusta, Georgia, USA",False
6717,SPARTANS,"Castle Dale, Utah, USA",False
6718,Rocket Dogs,"Oakland, California, USA",False
6719,P.O.W.E.R.,"Vancouver, British Columbia, Canada",False
6720,Walker-Hackensack-Akeley,"Walker, Minnesota, USA",False
6721,Tindley Trailblazers,"Indianapolis, Indiana, USA",True
6722,LED Robotics,"New Port Richey, Florida, USA",True
6723,Mechanical Mounties,"Williamstown, Massachusetts, USA",False
6724,Raiders Robotics,"Red Deer, Alberta, Canada",False
6725,WildBOTS,"London, Ontario, Canada",True
6726,MITOX,"Suzhou, Jiangsu, China",False
6727,HOT Bots,"Belton, Texas, USA",False
6728,The Fast and the Curious,"Morrilton, Arkansas, USA",False
6729,RobCoBots,"Lumberton, North Carolina, USA",True
6730,CCS Nuclear Knights,"Oklahoma City, Oklahoma, USA",False
6731,Record Robotics ,"Belmont, Massachusetts, USA",True
6732,BHS RoboRaiders,"Bruce, Wisconsin, USA",True
6733,PSJA North Raiders,"Pharr, Texas, USA",False
6734,Sydney TAFE,"Sydney, New South Wales, Australia",False
6735,Rauner College Prep,"Chicago, Illinois, USA",False
6736,Knights of the Sea,"AKKO, HaZafon, Israel",False
6737,H.R.T,"HAIFA, Haifa, Israel",False
6738,Excalibur,"Modi'in, HaMerkaz, Israel",True
6739,Tel Shevaa,"tel sheva, HaDarom, Israel",False
6740,G3 - Glue Gun & Glitter,"Pardes Hana, Haifa, Israel",True
6741,Space monkeys,"Bat Yam, HaMerkaz, Israel",False
6742,Augmented Jays,"Westland, Michigan, USA",False
6743,Tiger Engineering,"Fort Myers, Florida, USA",True
6744,MEHLVILLE RC,"Saint Louis, Missouri, USA",True
6745,DAPCEP,"Detroit, Michigan, USA",False
6746,Mustangs,"Syosset, New York, USA",False
6747,East Jefferson High School,"Metairie, Louisiana, USA",False
6748,MustangRobotics,"Mesa, Arizona, USA",False
6749,tERAbytes,"Hopkins, Minnesota, USA",True
6750,HenBotix,"McDonough, Georgia, USA",False
6751,RoboFlash,"Dallas, Texas, USA",False
6752,charger robotics,"Keller, Texas, USA",False
6753,CBA RoboKings,"Midland, Michigan, USA",True
6754,Trailbots,"Edinburg, Texas, USA",False
6755,Overdrive,"Fontana, California, USA",False
6756,Cross Creek Razorbacks,"Augusta, Georgia, USA",False
6757,Apex Robotics FPHS,"Forest Park, Georgia, USA",False
6758,Otternauts ,"Kasson, Minnesota, USA",True
6759,Rebel,"Pearl River, Louisiana, USA",False
6762,Oscats,"Hillsborough, New Hampshire, USA",False
6763,FUSION,"Manchester, New Hampshire, USA",False
6764,Flash Drives,"Fillmore, California, USA",True
6765,Columbus City Schools Walnut Ridge Scotts,"Columbus, Ohio, USA",False
6766,AtomStorm,"Shenzhen, Guangdong, China",True
6768,Denison Robo-Jackets,"Denison, Texas, USA",True
6769,Future Star,"Beijing, Beijing, China",False
6770,Semia United,"Beijing, Beijing, China",False
6771,Raven,"Beijing, Beijing, China",False
6772,The Marist Manta Rays,"Atlanta, Georgia, USA",True
6773,Max Throttle Mavericks,"McKinney, Texas, USA",True
6774,Oh-Kno Robo,"Knoxville, Tennessee, USA",True
6800,Valor,"Austin, Texas, USA",True
6801,Robot Crabshell,"Guangzhou, Guangdong, China",False
6802,Mean Caimans,"Cedar Bluff, Virginia, USA",True
6803,HAI-Panda,"Shanghai, Shanghai, China",False
6804,Team Wolfpack,"Livingston, California, USA",False
6805,Tomorrow Team,"Omaha, Nebraska, USA",True
